Source Name,Type (News or CSO),"Regional Level (Regional, National, International)",NUTS (if applicable for regional offices),Description,Link,Independence Rating,Notes,Country,Wiki Source
Ukmerges Zinios,News,Regional (Ukmergė),LT01,,https://www.ukzinios.lt/,,,Lithuania,
Tageblatt,News,National (Esch-sur-Alzette),LU00,,https://www.tageblatt.lu/,Labeled as liberal.,,Luxembourg,
Woxx,News,National (Luxembourg),LU00,,https://www.woxx.lu/,Labeled as left-wing.,,Luxembourg,
Luxemburger Wort,News,National (Luxembourg),LU00,"The paper is published by the Saint-Paul Luxembourg SA group, which is majority owned by the archdiocese of Luxembourg.",https://www.wort.lu/de,Catholic,,Luxembourg,
Le Quotidien,News,National (Esch-sur-Alzette),LU00,,https://lequotidien.lu/,Labeled as centre-left.,,Luxembourg,
RTL,News,National ,LU00,,https://today.rtl.lu/news/luxembourg,,,Luxembourg,
Satori,News,National (Riga),LV00,,https://satori.lv/,Labeled as liberal.,,Latvia,
Vesti,News,National (Riga),LV00,"It is closely aligned with the Saskaņa party (Harmony), which is loyal to Moscow. On both domestic and foreign policy Vesti backs the official Russian position vis-à-vis the Baltic states.",https://bb.lv/,,,Latvia,
Tvnet,News,National (Riga),LV00,,https://www.tvnet.lv/,Labeled as liberal.,,Latvia,
Rīgas Laiks,News,National (Riga),LV00,,https://www.rigaslaiks.lv/,Labeled as centre-left.,,Latvia,
Neatkarīgā,News,National (Riga),LV00,"Since 1999 the paper has belonged to the Latvian oligarch Aivars Lembergs, mayor of Ventspils since 1988, who has been accused of using the paper to pursue his own social and political objectives.",https://nra.lv/,Labeled as nationalistic. ,,Latvia,
MK Latvija,News,National (Riga),LV00,"It is published in Russian and for this reason particularly popular among the country's Russian-speaking population. It is Latvia's most widely read weekly, and is closely aligned with the Saskaņa party (Harmony), which is loyal to Moscow. The paper's editorial content is partially produced in Russia and therefore monitored by the Russian state.",https://www.mklat.lv/,,,Latvia,
Latvijas Avīze,News,National (Riga),LV00,Latvijas avīze's stance is decidedly national conservative,https://www.la.lv/,Labeled as conservative.,,Latvia,
Ir,News,National (Riga),LV00,,https://ir.lv/,Labeled as liberal.,,Latvia,
LSM,News,National (Riga),LV00,,https://www.lsm.lv/,Labeled as liberal.,,Latvia,
Dienas Bizness,News,National (Riga),LV00,,https://www.db.lv/,Labeled as liberal.,,Latvia,
Delfi,News,National (Riga),LV00,,https://www.delfi.lv/,Labeled as liberal.,,Latvia,
The Baltic Times,News,International,,,https://www.baltictimes.com/,,,Latvia,
Neatarīgā Rīta Avīze,News,National (Riga),LV00,,https://nra.lv/,,,Latvia,
Zemgales Ziŋas,News,Regional (Jelgava),LV00,,https://zz.lv/,,,Latvia,
The Shift News,News,National (Valletta),MT00,,https://theshiftnews.com/,Labeled as centre-left.,,Malta,
Times of Malta,News,National (Valletta),MT00,"Has a right-wing, pro-European stance.",https://timesofmalta.com/,Labeled as conservative.,,Malta,
The Malta Independent,News,National (St Julian's),MT00,Has a pro-European stance.,https://www.independent.com.mt/,Labeled as liberal-conservative.,,Malta,
Malta Today,News,National (San Gwann),MT00,,https://www.maltatoday.com.mt/,Labeled as centre-left.,,Malta,
ONE News,News,National,MT00,,https://one.com.mt/,,,Malta,
AD,News,,,,https://www.ad.nl/,,,Netherlands,
Vrij Nederland,News,National (Amsterdam),NL3,,https://www.vn.nl/,Labeled as left-wing.,,Netherlands,
Trouw,News,National (Amsterdam),NL3,Pursues a progressive Christian course,https://www.trouw.nl/,Christian,,Netherlands,
NRC Next,News,National (Amsterdam),NL3,,https://www.nrc.nl/next/,Labeled as liberal.,,Netherlands,
Joop,News,National (Hilversum),NL3,,https://www.bnnvara.nl/joop,Labeled as left-wing.,,Netherlands,
The Post Online,News,National (Amsterdam),NL3,"Although it insists that it is against dogma and ideology, many articles are on the right of the political spectrum.",https://tpo.nl/,,,Netherlands,
De Correspondent,News,National (Amsterdam),NL3,,https://decorrespondent.nl/,Labeled as liberal.,,Netherlands,
Het Financieele Dagblad,News,National (Amsterdam),NL3,,https://fd.nl/,Labeled as liberal.,,Netherlands,
Elsevier,News,National (Amsterdam),NL3,Pursues a decidedly conservative-liberal course.,https://www.elsevier.com/,Labeled as liberal-conservative.,,Netherlands,
De Groene Amsterdammer,News,National (Amsterdam),NL3,It is seen as a mouthpiece for left-wing intellectuals mainly based in Amsterdam.,https://www.groene.nl/,Labeled as left-wing.,,Netherlands,
NRC Handelsblad,News,National (Amsterdam),NL3,,https://adverteren.nrc.nl/,Labeled as liberal.,,Netherlands,
De Telegraaf,News,National (Amsterdam),NL3,Tabloid; Owing to its polemic right-wing editorial policy the paper is often accused of campaign journalism.,https://www.telegraaf.nl/,Labeled as right-wing.,,Netherlands,
De Volkskrant,News,National (Amsterdam),NL3,,https://www.volkskrant.nl/,Labeled as centre-left.,,Netherlands,
Algemeen Dagblad,News,Regional (Rotterdam),NL3,,https://www.ad.nl/nieuws/,,,Netherlands,
BN DeStem,News,"Regional (North Brabant, Zeeland)",NL3; NL4,,https://www.bndestem.nl/,,,Netherlands,
De Limburger,News,Regional (Limburg),NL4,,https://www.limburger.nl/,,,Netherlands,
Eindhovens Dagblad,News,Regional (Eindhoven),NL4,,https://www.ed.nl/,,,Netherlands,
Haarlems Dagblad,News,Regional (Haarlem),NL3,,https://www.haarlemsdagblad.nl/,,,Netherlands,
Groningsnieuws,News,Regional (Groningen),NL1,,https://www.groningsnieuws.nl/,,,Netherlands,
Friesch Dagblad,News,Regional (Friesland),NL1,,https://frieschdagblad.nl/,Wiki: News reports are written from a protestant perspective.,,Netherlands,https://en.wikipedia.org/wiki/Friesch_Dagblad
De Gelderlander,News,Regional (Gelderland),NL2,,https://www.gelderlander.nl/,,,Netherlands,
Omroep Flevoland,News,Regional (Flevoland),NL2,,https://www.omroepflevoland.nl/nieuws#1,,,Netherlands,
OKO,News,National,,,https://oko.press/,,,Poland,
Klub Jagielloński,News,National (Krakow),PL2,Founded in 2013 as a publication platform of the republican-conservative think tank Klub Jagielloński.,https://klubjagiellonski.pl/,Labeled as conservative.,,Poland,
Onet,News,National (Warsaw),PL9,,https://wiadomosci.onet.pl/,Labeled as centre-left.,,Poland,
Tygodnik Powszechny,News,National (Krakow),PL2,Its political orientation is conservative to liberal and does not align itself along political party lines.,https://www.tygodnikpowszechny.pl/,Catholic magazine.,,Poland,
Gazeta,News,National (Warsaw),PL9,The portal's political orientation is left-liberal and anti-government.,"https://www.gazeta.pl/0,0.html",Labeled as centre-left.,,Poland,
Wirtualna Polska,News,National (Warsaw),PL9,"Politically, it seems to be relatively neutral: its opinion section features well-known conservative as well as leftist and liberal journalists, who sometimes also debate with each other.",https://www.wp.pl/,Labeled as liberal.,,Poland,
Interia,News,National (Krakow),PL2,"It provides mainly tabloid coverage, but also features domestic and international political news coverage.",https://www.interia.pl/,Labeled as conservative.,,Poland,
Rzeczpospolita,News,National (Warsaw),PL9,,https://www.rp.pl/,Labeled as liberal-conservative.,,Poland,
wPolityce,News,National (Warsaw),PL9,Politicians of the national conservative Law and Justice Party (PiS) are among its regular contributors. The platform is closely aligned with the party and is anti-liberal in its stance.,https://wpolityce.pl/,Pro-government.,,Poland,
TVP,News,National (Warsaw),PL9,Since the national conservative Law and Justice Party (PiS) came to power in 2015 their news broadcasts have mainly become an instrument of propaganda for the party.,https://www.tvp.pl/,Pro-government.,,Poland,
Super Express,News,National (Warsaw),PL9,It is aimed at a predominantly conservative readership.,https://www.se.pl/,Labeled as conservative.,,Poland,
Polska,News,Regional (Warsaw),PL9,,https://i.pl/,Labeled as liberal-conservative.,,Poland,
Newsweek Polska,News,National (Warsaw),PL9,"Generally liberal on economic issues, and centre-left on social issues.",https://www.newsweek.pl/,Labeled as liberal.,,Poland,
NaTemat ,News,National (Warsaw),PL9,,https://natemat.pl/,Labeled as liberal.,,Poland,
Nasz Dziennik,News,National (Warsaw),PL9,Tries to teach Catholic values. It is closely aligned with the national conservative Law and Justice party (PiS). ,https://naszdziennik.pl/,Catholic.,,Poland,
Krytyka Polityczna,News,National (Warsaw),PL9,,https://krytykapolityczna.pl/,Labeled as left-wing.,,Poland,
Do Rzeczy,News,National (Warsaw),PL9,It represents conservative bordering on nationalist positions and frequently supports the PIS party line.,https://dorzeczy.pl/,Labeled as conservative.,,Poland,
Sieci,News,National (Warsaw),PL9,The magazine is published in cooperation with the wPolityce.pl website and has close ties to the ruling party PiS.,https://www.sieciprawdy.pl/,Labeled as nationalistic.,,Poland,
Gość Niedzielny,News,National (Katowice),PL2,"It represents Catholic values ​​and focuses on topics such as family or the relationship of man to God and the Church, in line with a deeply conservative interpretation of the Christian doctrine.",https://www.gosc.pl/,Catholic.,,Poland,
Gazeta Polska Codziennie,News,National (Warsaw),PL9,Gazeta Polska Codzienne represents a conservative to nationalist standpoint and has close ties to the ruling PiS party.,https://gpcodziennie.pl/,Labeled as right-wing.,,Poland,
Fakt,News,National (Warsaw),PL9,It likes to portray itself as a defender of the average citizen. ,https://www.fakt.pl/,Labeled as conservative.,,Poland,
Dziennik Gazeta Prawna,News,National (Warsaw),PL9,Represents centrist and centre-right positions.,https://www.gazetaprawna.pl/,Labeled as liberal-conservative.,,Poland,
Wprost,News,National (Warsaw),PL9,,https://www.wprost.pl/,Labeled as conservative.,,Poland,
Gazeta Wyborcza,News,National (Warsaw),PL9,"Pro-European, highly critical of the government and frequently calls for protests against the national conservative PiS government.","https://wyborcza.pl/0,0.html?disableRedirects=true",Labeled as centre-left.,,Poland,
Polityka,News,National (Warsaw),PL9,,https://www.polityka.pl/,Labeled as liberal.,,Poland,
Dziennik Polski,News,Regional (Małopolskie),PL2,,https://dziennikpolski24.pl/,,,Poland,
Gazeta Polska,News,National,,,https://www.gazetapolska.pl/,,,Poland,
Gazeta Wyborcza,News,National (Warsaw),PL9,,"https://www.gazeta.pl/0,0.html",,,Poland,
New Eastern Europe,News,International,,,https://neweasterneurope.eu/,,,Poland,
Polish Press Agency,News,National (Warsaw),PL9,National news agency.,https://www.pap.pl/en,,,Poland,
Tygodnik Angora,News,Regional (Łódź),PL7,,https://www.angora.com.pl/,,,Poland,
Warsaw Voice,News,National (Warsaw),PL9,,https://www.warsawvoice.pl/WVpage/pages/index.php,English language.,,Poland,
Życie Warszawy,News,Regional (Warsaw),PL9,,https://www.zw.com.pl/,,,Poland,
Głos Wielkopolski,News,Regional (Wielkopolskie),PL4,,https://gloswielkopolski.pl/,,,Poland,
TenPoznan,News,"Regional (Poznań, Wielkopolskie)",PL4,,https://tenpoznan.pl/,,,Poland,
Gazeta Wrocławska,News,Regional (Wrocław),PL5,,https://gazetawroclawska.pl/,,,Poland,
Prosto z Opolskiego,News,Regional (Opolskie),PL5,,https://www.prostozopolskiego.pl/,,,Poland,
Gazeta Pomorska,News,"Regional (Bydgoszcz, Inowrocław, Włocławek, Aleksandrów Kujawski, Chełmno, Koronowo, Golub-Dobrzyń, Lipno, Rypin, Świecie, Wąbrzeźno, 
Grudziądz, Toruń, Chojnice, Brodnica, Ciechocinek, Nakło, Mogilno, Radziejów, Tuchola, Sępólno Krajeńskie, Żnin)",PL6,,https://pomorska.pl/,,,Poland,
Warmińsko-mazurskie,News,Regional (Warmińsko-mazurskie),PL6,,https://warminskomazurskie.naszemiasto.pl/,,,Poland,
Dziennik,News,Regional (Łódzkie),PL7,,https://dzienniklodzki.pl/,,,Poland,
Kurier Lubelski,News,Regional (Lubelskie),PL8,,https://kurierlubelski.pl/,,,Poland,
Onet,News,"Regional (Krakow, Lodz, Warszawa, Olsztyn, Wroclaw, Szczecin, Bialystok, Poznan, Kielce, Rzeszow, Lubuskie, Kujawsko-Pomorskie, Slask, Lublin, Trojmiasto, Opole)",PL2; PL4; PL5; PL6; PL7; PL8,,https://wiadomosci.onet.pl/,,,Poland,
O Diabo,News,National (Lisboa),PT1,,https://jornaldiabo.com/,,,Portugal,
AbrilAbril,News,National,,,https://www.abrilabril.pt/,,,Portugal,
ECO - Economia Online,News,National (Lisboa),PT1,,https://eco.sapo.pt/,Labeled as liberal.,,Portugal,
TSF,News,National (Lisboa),PT1,,https://www.tsf.pt/,Labeled as liberal.,,Portugal,
O Jornal Económico,News,National (Lisboa),PT1,,https://jornaleconomico.pt/,Labeled as liberal.,,Portugal,
SIC Notícias,News,National (Oeiras),PT1,,https://sicnoticias.pt/,Labeled as liberal.,,Portugal,
Sol,News,National (Lisboa),PT1,,https://sol.sapo.pt/,Labeled as right-wing.,,Portugal,
Rádio Renascença,News,National (Lisboa),PT1,"Private Catholic radio station with a conservative stance, owned by the Catholic Church in Portugal.",https://rr.sapo.pt/,Catholic,,Portugal,
Público,News,"Regional (Lisboa, Porto, Coimbra, Braga)",PT1,,https://www.publico.pt/,Labeled as liberal.,,Portugal,
Observador,News,National (Lisboa),PT1,"Generally adopts a moderate, centre-right stance.",https://observador.pt/,Labeled as liberal-conservative.,,Portugal,
Jornal de Notícias,News,National (Porto),PT1,Generally represents the centre of the political spectrum.,https://www.jn.pt/,Labeled as liberal.,,Portugal,
Jornal de Negócios,News,National (Lisboa),PT1,,https://www.jornaldenegocios.pt/,Labeled as liberal.,,Portugal,
Sábado,News,National (Lisboa),PT1,Tabloid; Its content is neutral and politically unbiased.,https://www.sabado.pt/,,,Portugal,
Journal I ,News,National (Lisboa),PT1,,https://ionline.sapo.pt/,Labeled as centre-left.,,Portugal,
Visão,News,National (Oeiras),PT1,,https://visao.sapo.pt/,Labeled as centre-left.,,Portugal,
Correio da Manhã,News,National (Lisboa),PT1,Tabloid-style. Its reporting does not have any particular political orientation.,https://www.cmjornal.pt/,,,Portugal,
Expresso,News,National (Oeiras),PT1,,https://expresso.pt/,Labeled as liberal.,,Portugal,
Diário de Notícias,News,National (Lisboa),PT1,,https://www.dn.pt/,Labeled as liberal-conservative.,,Portugal,
Portugal Resident,News,National (Algarve),PT1,,https://www.portugalresident.com/,,,Portugal,
O Interior,News,Regional (Beiras e Serra da Estrela),PT1,,https://ointerior.pt/,,,Portugal,
Lusa - Agência de Notícias de Portugal,News,National (Lisboa),PT1,,https://www.lusa.pt/,Portuguese news agency,,Portugal,
Região Sul,News,Regional (Algarve),PT1,,https://regiao-sul.pt/,,,Portugal,
Terras da Beira,News,Regional (Guarda),PT1,,https://terrasdabeira.gmpress.pt/,,,Portugal,
Acoriano Oriental,News,Regional (Região Autónoma dos Açores),PT2,,https://www.acorianooriental.pt/,,,Portugal,
Açores 24Horas,News,Regional (Região Autónoma dos Açores),PT2,,https://www.acores24horas.pt/,,,Portugal,
Diário de Notícias,News,Regional (Região Autónoma da Madeira),PT3,,https://www.dnoticias.pt/,,,Portugal,
JM Madeira,News,Both (Região Autónoma da Madeira),PT3,,https://www.jm-madeira.pt/regiao,,,Portugal,
RFI România,News,International,,,https://www.rfi.ro/,Romanian language radio service of Radio France Internationale,,Romania,
Mediafax,News,National,,,https://www.mediafax.ro/,,,Romania,
Spotmedia,News,National,,,https://spotmedia.ro/,,,Romania,
Newsweek România,News,National (Bucharest),RO3,,https://newsweek.ro/,Labeled as liberal-conservative.,,Romania,
Maszol,News,National (Cluj-Napoca),RO1,"Hungarian-language media, receives public funds from Hungary.",https://www.maszol.ro/,,,Romania,
Libertatea,News,National (Bucharest),RO3,"Its look and feel is like a tabloid, yet claims to be a popular quality newspaper. The editorial team claims that it does not pursue any political agenda.",https://www.libertatea.ro/,Labeled as liberal-conservative.,,Romania,
G4Media,News,National (Bucharest),RO3,They claim to have no specific political orientation.,https://www.g4media.ro/,Labeled as liberal-conservative.,,Romania,
Baricada,News,National (Bucharest),RO3,"According to the editorial team, they aim to be independent and unbiased.",https://www.digi24.ro/,,,Romania,
Radio Europa Liberă,News,International,,According to the editors the broadcaster does not have a particular political orientation.,https://romania.europalibera.org/,A United States government-funded organisation that broadcasts from Prague to several Eastern European countries.,,Romania,
Krónika,News,National (Cluj-Napoca),RO1,"Hungarian-language daily. In early 2018, the publishing house became part of a media holding that was set up under the umbrella of the Erdélyi Médiatér Egyesület association and received funding from the Hungarian government.",https://kronikaonline.ro/,Labeled as conservative.,,Romania,
Ziare ,News,National (Bucharest),RO3,It is financed through advertising and describes itself as politically neutral.,https://ziare.com/,Labeled as conservative.,,Romania,
România liberă,News,National (Bucharest),RO3,,https://romanialibera.ro/,Labeled as conservative.,,Romania,
Revista 22,News,National (Bucharest),RO3,,https://revista22.ro/,Labeled as conservative.,,Romania,
Observator Cultural,News,National (Bucharest),RO3,The magazine is financed by subscriptions and art world advertising as well as funding from Romania's Ministry of Culture. ,https://www.observatorcultural.ro/,Labeled as liberal.,,Romania,
Jurnalul National,News,National (Bucharest),RO3,"In 1995 the publication passed into the ownership of the Intact Media Group, which belongs to the family of Dan Voiculescu, a controversial businessman and former high-ranking politician. He spent three years in prison for money laundering and fraud. The paper represents the interests of its owner, Voiculescu.",https://jurnalul.ro/,,,Romania,
Hotnews,News,National (Bucharest),RO3,Hotnews describes itself as politically neutral.,https://www.hotnews.ro/,,,Romania,
Gândul,News,National (Bucharest),RO3,,https://www.gandul.ro/,,,Romania,
Evenimentul Zilei,News,National (Bucharest),RO3,"Evenimentul Zilei - EVZ for short - is known for interest-driven reporting and tends to back whoever is financing the paper, with the result that its ideological orientation can change very quickly. ",https://evz.ro/,,,Romania,
Dilema Veche,News,National (Bucharest),RO3,,https://dilemaveche.ro/,Labeled as liberal-conservative.,,Romania,
Deutsche Welle Romania,News,National (Bucharest),RO3,Many of the commentaries lean towards conservatism.,https://www.dw.com/ro/focus/s-10575,Labeled as conservative.,,Romania,
Capital,News,National (Bucharest),RO3,,https://www.capital.ro/,Labeled as conservative.,,Romania,
Adevărul,News,National (Bucharest),RO3,,https://adevarul.ro/,Labeled as liberal-conservative.,,Romania,
Flash News,News,National,,,https://www.flashnews.ro/,,,Romania,
Allgemeine Deutsche Zeitung ,News,National,,German language daily.,https://adz.ro/startseite,,,Romania,
Cotidianul,News,National (Bucharest),RO3,,https://www.cotidianul.ro/,,,Romania,
Curentul,News,National (Bucharest),RO3,,https://www.curentul.info/,,,Romania,
Libertatea,News,National (Bucharest),RO3,,https://www.libertatea.ro/,,,Romania,
Nine O'Clock,News,National (Bucharest),RO3,,https://www.nineoclock.ro/,English language.,,Romania,
Rompres: Agenţia Naţională de Presă ,News,National,,,https://www.agerpres.ro/,,,Romania,
Ziare,News,National (Bucharest),RO3,,https://ziare.com/,,,Romania,
Ziarul de Iași,News,Regional (Iași),RO2,,https://www.ziaruldeiasi.ro/stiri/local,,,Romania,
Alba24,News,Regional (Alba County),RO1,,https://alba24.ro/,,,Romania,
Ziarul de Iaşi,News,Regional (Iaşi County),RO2,,https://www.ziaruldeiasi.ro/,,,Romania,
Stirea de Iasi,News,Regional (Iaşi County),RO2,,https://www.stireadeiasi.ro/,,,Romania,
Gazeta de Sud,News,"Regional (Dolj, Gorj, Mehedinti, Olt, Valcea)",RO4,,https://www.gds.ro/,,,Romania,
Gorjeanul,News,Regional (Gorj),RO4,,https://gorjeanul.ro/,,,Romania,
Sydsvenskan,News,National (Malmö),SE2,"Since 1966 it has stated its editorial position as ""independent liberal"". ",https://www.sydsvenskan.se/,Labeled as liberal.,,Sweden,
Fokus,News,National (Stockholm),SE1,It describes itself as politically independent.,https://www.fokus.se/,,,Sweden,
SVT Opinion,News,National (Stockholm),SE1,,https://www.svt.se/,,,Sweden,
Upsala Nya Tidning,News,Regional (Uppsala),SE1,Upsala Nya Tidning is one of the country's liberal voices.,https://unt.se/lokalt,Labeled as liberal.,,Sweden,
Svenska Dagbladet,News,National (Stockholm),SE1,"Describes its editorial position as ""independently moderate"".",https://www.svd.se/,Labeled as conservative.,,Sweden,
Dagens Samhälle,News,National (Stockholm),SE1,Its mission is to report without political bias on issues of particular interest for the public sector.,https://www.dagenssamhalle.se/,,,Sweden,
Göteborgs-Posten,News,National (Gothenburg),SE2,,https://www.gp.se/,Labeled as liberal.,,Sweden,
Expressen,News,National (Stockholm),SE1,Tabloid: It focusses on scandals and sensational reporting.,https://www.expressen.se/,Labeled as liberal.,,Sweden,
ETC,News,National (Stockholm),SE1,,https://www.etc.se/,Labeled as left-wing.,,Sweden,
Dala-Demokraten,News,Regional (Falun),SE3,,https://www.dalademokraten.se/,Labeled as left-wing.,,Sweden,
Aftonbladet,News,National (Stockholm),SE1,Tabloid: focuses on scandals and exposés.,https://www.aftonbladet.se/,Labeled as centre-left.,,Sweden,
Dagens Nyheter,News,National (Stockholm),SE1,,https://www.dn.se/,Labeled as liberal.,,Sweden,
Borås Tidning,News,National (Borås),SE2,,https://www.bt.se/,,,Sweden,
Enköpings-Posten,News,Regional (Enköping),SE1,,https://eposten.se/,,,Sweden,
Hallands Nyheter,News,Regional (Falkenberg),SE2,,https://www.hn.se/,,,Sweden,
Helsingborgs Dagblad ,News,Regional (Helsingborg),SE2,,https://www.hd.se/,,,Sweden,
Nerikes Allehanda,News,Regional (Örebro),SE1,,https://www.na.se/,,,Sweden,
Norrbottens-Kuriren,News,Regional (Norrbotten),SE3,,https://kuriren.nu/,,,Sweden,
Norrköpings Tidningar,News,Regional (Östergötland),SE1,,https://nt.se/lokalt,,,Sweden,
Östersunds-Posten,News,Regional (Östersund),SE3,,https://www.op.se/nyheter/ettan,,,Sweden,
Västerbottens-Kuriren,News,Regional (Umeå),SE3,,https://www.vk.se/,,,Sweden,
Vestmanlands Läns Tidning,News,Regional (Västerås),SE1,,https://www.vlt.se/,,,Sweden,
Demokracija,News,National (Ljubljana),SI04,"The two current majority stakeholders in Nova Obzorja, the publisher of this conservative-right-wing weekly, are the SDS party of the conservative Prime Minister Janez Janša and the Hungarian publishing house Ripost.",https://demokracija.si/,Labeled as right-wing.,,Slovenia,
Primorske Novice,News,Regional (Koper),SI04,Describes itself as an independent daily,https://www.primorske.si/,,,Slovenia,
Večer,News,Regional (Maribor),SI03,It regards itself as a regional and politically neutral paper.,https://vecer.com/,,,Slovenia,
Žurnal24,News,National (Ljubljana),SI04,,https://www.zurnal24.si/,,,Slovenia,
RTV Slovenija,News,National (Ljubljana),SI04,,https://www.rtvslo.si/,,,Slovenia,
Mladina,News,National (Ljubljana),SI04,Ever since it was first founded the weekly paper Mladina has been a harsh critic of old ways of thinking and current politics.,https://www.mladina.si/,Labeled as left-wing.,,Slovenia,
Siol,News,National (Ljubljana),SI04,,https://siol.net/,,,Slovenia,
Dnevnik,News,National (Ljubljana),SI04,,https://www.dnevnik.si/,Labeled as centre-left.,,Slovenia,
Delo,News,"Both (Ljubljana, Stajerska, Gorenjska, Dolenjska, Prekmurje, Koroska, Primorsko-Notranjska)",SI03; SI04,,https://www.delo.si/,Labeled as centre-left.,,Slovenia,
Ljubljanske Novice,News,National (Ljubljana),SI04,,https://ljnovice.si/,,,Slovenia,
Slovene Press Agency,News,National (Ljubljana),SI04,,https://www.sta.si/,,,Slovenia,
Denník Postoj,News,National (Bratislava),SK01,,https://www.postoj.sk/,Labeled as conservative.,,Slovakia,
Teraz,News,National (Bratislava),SK01,,https://www.teraz.sk/,,,Slovakia,
Aktuality,News,National (Bratislava),SK01,,https://www.aktuality.sk/,Labeled as liberal.,,Slovakia,
Noviny,News,National (Bratislava),SK01,,https://www.noviny.sk/,,,Slovakia,
Új Szó,News,Regional (Bratislava),SK01,,https://ujszo.com/,Labeled as liberal.,,Slovakia,
Sme,News,National (Bratislava),SK01,,https://www.sme.sk/,Labeled as liberal.,,Slovakia,
Aktuálne,News,National (Bratislava),SK01,,https://www.centrum.sk/,Labeled as liberal.,,Slovakia,
Týždeň,News,National (Bratislava),SK01,,https://www.tyzden.sk/,Labeled as liberal-conservative.,,Slovakia,
Hospodárske noviny,News,National (Bratislava),SK01,,https://www.hnonline.sk/,Labeled as liberal.,,Slovakia,
Denník N,News,National (Bratislava),SK01,Critical of the government.,https://dennikn.sk/,,,Slovakia,
Pravda,News,National (Bratislava),SK01,,https://www.pravda.sk/,"Left-leaning quality daily newspaper, with close ties to Robert Fico's centre-left government",,Slovakia,
Nový CAS,News,"Both (Západné Slovensko, Východné Slovensko, Bratislava, Stredné Slovensko)",SK01; SK02; SK03; SK04,Wiki: Tabloid,https://www.cas.sk/,,,Slovakia,
Slovak Spectator,News,National (Bratislava),SK01,,https://spectator.sme.sk/,,,Slovakia,
Slovak News Agency,News,National (Bratislava),SK01,,https://www.tasr.sk/,,,Slovakia,
Plus JEDEN DEŇ - Pluska,News,"Both (Západné Slovensko, Bratislava, Stredné Slovensko, Východné Slovensko)",SK01; SK02; SK03; SK04,,https://www1.pluska.sk/,,,Slovakia,
